Deformation,      Standard force,       Bending angle,Absolute crosshead t
2.822806239128e-01,  1.787911529541e+02,  7.199682555147e-01, -1.824038536968e+02
2.842871248722e-01,  1.799375610352e+02,  7.250940839910e-01, -1.824018471958e+02
2.862875163555e-01,  1.810489807129e+02,  7.302044192810e-01, -1.823998468043e+02
2.882823646069e-01,  1.821983489990e+02,  7.353007069417e-01, -1.823978519561e+02
2.902883589268e-01,  1.832454681396e+02,  7.404255840038e-01, -1.823958459617e+02
2.919518351555e-01,  1.842865600586e+02,  7.446754891020e-01, -1.823941824855e+02
2.939489185810e-01,  1.854922637939e+02,  7.497778091653e-01, -1.823921854021e+02
2.959458231926e-01,  1.866079406738e+02,  7.548797858985e-01, -1.823901884975e+02
2.976137995720e-01,  1.876837921143e+02,  7.591414568648e-01, -1.823885205211e+02
2.992826700211e-01,  1.888049621582e+02,  7.634054914201e-01, -1.823868516506e+02
3.009457886219e-01,  1.898446350098e+02,  7.676549086102e-01, -1.823851885320e+02
3.029467165470e-01,  1.909969329834e+02,  7.727675632319e-01, -1.823831876041e+02
3.046181797981e-01,  1.920037078857e+02,  7.770384762111e-01, -1.823815161409e+02
3.066220879555e-01,  1.931293487549e+02,  7.821589552087e-01, -1.823795122327e+02
3.082906603813e-01,  1.941727600098e+02,  7.864226559613e-01, -1.823778436603e+02
3.102871477604e-01,  1.952605285645e+02,  7.915243813936e-01, -1.823758471729e+02
3.122905492783e-01,  1.963665771484e+02,  7.966438888287e-01, -1.823738437714e+02
3.139559626579e-01,  1.975361633301e+02,  8.008997856905e-01, -1.823721783580e+02
3.156127929688e-01,  1.985615997314e+02,  8.051338271238e-01, -1.823705215277e+02
3.176114559174e-01,  1.996047210693e+02,  8.102415281150e-01, -1.823685228648e+02
3.196094632149e-01,  2.007251434326e+02,  8.153476670601e-01, -1.823665248575e+02
3.216164112091e-01,  2.019112548828e+02,  8.204767692311e-01, -1.823645179095e+02
3.232848346233e-01,  2.030205535889e+02,  8.247408005255e-01, -1.823628494860e+02
3.249464333057e-01,  2.040576019287e+02,  8.289874683096e-01, -1.823611878874e+02
3.269423544407e-01,  2.051970062256e+02,  8.340886918619e-01, -1.823591919662e+02
3.289469182491e-01,  2.062285003662e+02,  8.392121184992e-01, -1.823571874024e+02
3.309496343136e-01,  2.073550262451e+02,  8.443309365292e-01, -1.823551846864e+02
3.326117694378e-01,  2.083772888184e+02,  8.485793373267e-01, -1.823535225512e+02
3.342827558517e-01,  2.094291381836e+02,  8.528504410360e-01, -1.823518515648e+02
3.359656333923e-01,  2.104720764160e+02,  8.571520190642e-01, -1.823501686873e+02
3.376306891441e-01,  2.115146179199e+02,  8.614081222437e-01, -1.823485036315e+02
3.392822444439e-01,  2.126295928955e+02,  8.656297942532e-01, -1.823468520762e+02
3.409506082535e-01,  2.136456604004e+02,  8.698945104704e-01, -1.823451837124e+02
3.429495096207e-01,  2.147337951660e+02,  8.750042597020e-01, -1.823431848110e+02
3.446102440357e-01,  2.158283538818e+02,  8.792496461862e-01, -1.823415240766e+02
3.466186225414e-01,  2.170193328857e+02,  8.843838305448e-01, -1.823395156981e+02
3.486167788506e-01,  2.180802612305e+02,  8.894919966692e-01, -1.823375175418e+02
3.506205379963e-01,  2.192429809570e+02,  8.946145998959e-01, -1.823355137827e+02
3.526158630848e-01,  2.203802185059e+02,  8.997157547014e-01, -1.823335184576e+02
3.546141088009e-01,  2.216004943848e+02,  9.048244894601e-01, -1.823315202119e+02
3.566127419472e-01,  2.227162017822e+02,  9.099343280431e-01, -1.823295215787e+02
3.586052656174e-01,  2.239016571045e+02,  9.150286595284e-01, -1.823275290551e+02
3.606063425541e-01,  2.250745544434e+02,  9.201449726853e-01, -1.823255279781e+02
3.626145422459e-01,  2.262913513184e+02,  9.252796113323e-01, -1.823235197784e+02
3.642925918102e-01,  2.274329223633e+02,  9.295701977288e-01, -1.823218417289e+02
3.662908673286e-01,  2.285989685059e+02,  9.346796704828e-01, -1.823198434533e+02
3.682845234871e-01,  2.297125091553e+02,  9.397774446261e-01, -1.823178497972e+02
3.706222474575e-01,  2.308330383301e+02,  9.457551428851e-01, -1.823155120732e+02
3.722819983959e-01,  2.318652801514e+02,  9.499993180938e-01, -1.823138523223e+02
3.742823898792e-01,  2.330311737061e+02,  9.551146543506e-01, -1.823118519308e+02
3.759523034096e-01,  2.340508270264e+02,  9.593849899468e-01, -1.823101820173e+02
3.776123225689e-01,  2.351600646973e+02,  9.636301017828e-01, -1.823085219981e+02
3.792816102505e-01,  2.362059173584e+02,  9.678989944372e-01, -1.823068527104e+02
3.812831044197e-01,  2.372083435059e+02,  9.730175474482e-01, -1.823048512162e+02
3.832842111588e-01,  2.382692871094e+02,  9.781352231081e-01, -1.823028501095e+02
3.849459290504e-01,  2.393370971680e+02,  9.823850242512e-01, -1.823011883916e+02
3.866113722324e-01,  2.403540344238e+02,  9.866444311995e-01, -1.822995229484e+02
3.882849216461e-01,  2.413729095459e+02,  9.909246491356e-01, -1.822978493990e+02
3.899538218975e-01,  2.424819030762e+02,  9.951930554983e-01, -1.822961804988e+02
3.919556736946e-01,  2.436079406738e+02,  1.000313128168e+00, -1.822941786470e+02
3.936249613762e-01,  2.446771392822e+02,  1.004582698926e+00, -1.822925093593e+02
3.952932655811e-01,  2.456925201416e+02,  1.008849833039e+00, -1.822908410551e+02
3.972847759724e-01,  2.467072143555e+02,  1.013943756553e+00, -1.822888495447e+02
3.992805182934e-01,  2.478653106689e+02,  1.019048617190e+00, -1.822868538024e+02
4.012815356255e-01,  2.490120697021e+02,  1.024167083812e+00, -1.822848527850e+02
4.032774865627e-01,  2.501944885254e+02,  1.029272703812e+00, -1.822828568341e+02
4.049530625343e-01,  2.512840270996e+02,  1.033558895289e+00, -1.822811812581e+02
4.069546163082e-01,  2.523236541748e+02,  1.038679055351e+00, -1.822791797044e+02
4.092899560928e-01,  2.535077819824e+02,  1.044653214212e+00, -1.822768443646e+02
4.109438359737e-01,  2.545305786133e+02,  1.048884186984e+00, -1.822751904847e+02
4.126120507717e-01,  2.555390777588e+02,  1.053151909858e+00, -1.822735222699e+02
4.146120548248e-01,  2.566205139160e+02,  1.058268538783e+00, -1.822715222658e+02
