$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  7.494379580021e-02;  8.730323791504e+01; -7.629893145433e+01
  7.519938796759e-02;  8.845127105713e+01; -7.629867586217e+01
  7.544481754303e-02;  8.966646575928e+01; -7.629843043259e+01
  7.569582760334e-02;  9.080010986328e+01; -7.629817942253e+01
  7.594225555658e-02;  9.186985015869e+01; -7.629793299458e+01
  7.619262486696e-02;  9.296443176270e+01; -7.629768262527e+01
  7.644450664520e-02;  9.415298461914e+01; -7.629743074349e+01
  7.669778168201e-02;  9.542869567871e+01; -7.629717746845e+01
  7.694640755653e-02;  9.665620422363e+01; -7.629692884258e+01
  7.719797641039e-02;  9.803119659424e+01; -7.629667727372e+01
  7.744859158993e-02;  9.948927307129e+01; -7.629642665855e+01
  7.761163264513e-02;  1.005062484741e+02; -7.629626361749e+01
  7.777760177851e-02;  1.015606079102e+02; -7.629609764836e+01
  7.794553041458e-02;  1.025931854248e+02; -7.629592971972e+01
  7.810940593481e-02;  1.036915893555e+02; -7.629576584420e+01
  7.827831059694e-02;  1.048088455200e+02; -7.629559693954e+01
  7.844577729702e-02;  1.059509277344e+02; -7.629542947284e+01
  7.861028611660e-02;  1.070259399414e+02; -7.629526496402e+01
  7.878014445305e-02;  1.080613403320e+02; -7.629509510568e+01
  7.894913852215e-02;  1.091322021484e+02; -7.629492611161e+01
  7.911174744368e-02;  1.101565093994e+02; -7.629476350269e+01
  7.928030937910e-02;  1.112491149902e+02; -7.629459494076e+01
  7.944883406162e-02;  1.124045181274e+02; -7.629442641607e+01
  7.961297780275e-02;  1.135615844727e+02; -7.629426227233e+01
  7.977993041277e-02;  1.146672439575e+02; -7.629409531972e+01
  7.994917780161e-02;  1.158098068237e+02; -7.629392607233e+01
  8.011720329523e-02;  1.169225387573e+02; -7.629375804684e+01
  8.027896285057e-02;  1.180943679810e+02; -7.629359628728e+01
  8.044622093439e-02;  1.192333755493e+02; -7.629342902920e+01
  8.061111718416e-02;  1.204359664917e+02; -7.629326413295e+01
  8.077647536993e-02;  1.215881042480e+02; -7.629309877477e+01
  8.094905316830e-02;  1.227480926514e+02; -7.629292619697e+01
  8.111663162708e-02;  1.239174957275e+02; -7.629275861851e+01
  8.127858489752e-02;  1.251017761230e+02; -7.629259666524e+01
  8.144518733025e-02;  1.263113174438e+02; -7.629243006280e+01
  8.161587268114e-02;  1.275464172363e+02; -7.629225937745e+01
  8.178196847439e-02;  1.287514343262e+02; -7.629209328166e+01
  8.194538205862e-02;  1.300211944580e+02; -7.629192986808e+01
  8.211473375559e-02;  1.313476867676e+02; -7.629176051638e+01
  8.228459954262e-02;  1.326450653076e+02; -7.629159065059e+01
  8.244796097279e-02;  1.339676971436e+02; -7.629142728916e+01
  8.261198550463e-02;  1.353432464600e+02; -7.629126326463e+01
  8.278241753578e-02;  1.366010589600e+02; -7.629109283260e+01
  8.294700831175e-02;  1.378519134521e+02; -7.629092824182e+01
  8.310987800360e-02;  1.391417541504e+02; -7.629076537213e+01
  8.327573537827e-02;  1.404479675293e+02; -7.629059951476e+01
  8.344329893589e-02;  1.417298736572e+02; -7.629043195120e+01
  8.361086249352e-02;  1.430488739014e+02; -7.629026438764e+01
  8.377983421087e-02;  1.444292602539e+02; -7.629009541592e+01
  8.394815027714e-02;  1.457850646973e+02; -7.628992709986e+01
  8.411267399788e-02;  1.473081970215e+02; -7.628976257614e+01
  8.428223431110e-02;  1.487584991455e+02; -7.628959301582e+01
  8.444417268038e-02;  1.503894805908e+02; -7.628943107745e+01
  8.460748195648e-02;  1.519848175049e+02; -7.628926776818e+01
  8.477972447872e-02;  1.536521148682e+02; -7.628909552566e+01
  8.494834601879e-02;  1.551824798584e+02; -7.628892690412e+01
  8.511096984148e-02;  1.568950958252e+02; -7.628876428029e+01
  8.527610450983e-02;  1.584986419678e+02; -7.628859914563e+01
  8.544416725636e-02;  1.601722106934e+02; -7.628843108288e+01
  8.560988306999e-02;  1.617745819092e+02; -7.628826536707e+01
  8.577981591225e-02;  1.635843811035e+02; -7.628809543422e+01
  8.594636619091e-02;  1.652005157471e+02; -7.628792888394e+01
  8.611275255680e-02;  1.669127655029e+02; -7.628776249758e+01
  8.627554774284e-02;  1.685724182129e+02; -7.628759970239e+01
  8.644441515207e-02;  1.703545227051e+02; -7.628743083498e+01
  8.661089092493e-02;  1.719555053711e+02; -7.628726435921e+01
  8.678167313337e-02;  1.737605285645e+02; -7.628709357700e+01
  8.694757521152e-02;  1.754869537354e+02; -7.628692767492e+01
  8.711035549641e-02;  1.773418579102e+02; -7.628676489464e+01
  8.727979660034e-02;  1.789862365723e+02; -7.628659545353e+01
  8.744762837887e-02;  1.807287292480e+02; -7.628642762176e+01
  8.761253952980e-02;  1.824946136475e+02; -7.628626271061e+01
  8.777550607920e-02;  1.842369537354e+02; -7.628609974406e+01
  8.794452250004e-02;  1.859158020020e+02; -7.628593072764e+01
  8.810899406672e-02;  1.877329406738e+02; -7.628576625607e+01
  8.827652037144e-02;  1.894601593018e+02; -7.628559872976e+01
