$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  8.749205619097e-02;  7.884547424316e+01; -7.621649897001e+01
  8.808029443026e-02;  7.993237304688e+01; -7.621591073177e+01
  8.857513219118e-02;  8.113088226318e+01; -7.621541589401e+01
  8.899524807930e-02;  8.229075622559e+01; -7.621499577812e+01
  8.932832628489e-02;  8.332939910889e+01; -7.621466269991e+01
  8.966378122568e-02;  8.440157318115e+01; -7.621432724497e+01
  8.999503403902e-02;  8.552337646484e+01; -7.621399599216e+01
  9.024256467819e-02;  8.657879638672e+01; -7.621374846152e+01
  9.049323946238e-02;  8.758136749268e+01; -7.621349778673e+01
  9.074507653713e-02;  8.867411041260e+01; -7.621324594966e+01
  9.099579602480e-02;  8.970104217529e+01; -7.621299523017e+01
  9.124529361725e-02;  9.080426788330e+01; -7.621274573258e+01
  9.149464219809e-02;  9.185249328613e+01; -7.621249638400e+01
  9.174443036318e-02;  9.307431030273e+01; -7.621224659583e+01
  9.199161827564e-02;  9.434696197510e+01; -7.621199940792e+01
  9.224264323711e-02;  9.572197723389e+01; -7.621174838296e+01
  9.249554574490e-02;  9.708171844482e+01; -7.621149548045e+01
  9.274369478226e-02;  9.832711029053e+01; -7.621124733141e+01
  9.299336373806e-02;  9.960742950439e+01; -7.621099766246e+01
  9.325463324785e-02;  1.011122665405e+02; -7.621073639295e+01
  9.341405332088e-02;  1.021521759033e+02; -7.621057697288e+01
  9.358006715775e-02;  1.033391342163e+02; -7.621041095904e+01
  9.382688999176e-02;  1.048252105713e+02; -7.621016413621e+01
  9.407623857260e-02;  1.063100051880e+02; -7.620991478762e+01
  9.424495697021e-02;  1.073288726807e+02; -7.620974606923e+01
  9.449589997530e-02;  1.087306823730e+02; -7.620949512622e+01
  9.466138482094e-02;  1.098354187012e+02; -7.620932964138e+01
  9.483096003532e-02;  1.109132308960e+02; -7.620916006616e+01
  9.499968588352e-02;  1.119382934570e+02; -7.620899134031e+01
  9.516944736242e-02;  1.130280456543e+02; -7.620882157883e+01
  9.532728791237e-02;  1.141205596924e+02; -7.620866373828e+01
  9.550086408854e-02;  1.151844863892e+02; -7.620849016211e+01
  9.566550701857e-02;  1.162722930908e+02; -7.620832551918e+01
  9.583056718111e-02;  1.174082336426e+02; -7.620816045902e+01
  9.599862247705e-02;  1.184714813232e+02; -7.620799240372e+01
  9.616586565971e-02;  1.195645904541e+02; -7.620782516054e+01
  9.632970392704e-02;  1.207133789063e+02; -7.620766132227e+01
